vid,description,name,status,group
773,Netgem Nordnet - TX,Netgem_Nordnet_-_TX-773,active,ZZ_contrib TDF
780,Blueline - TX,Blueline_-_TX-780,active,ZZ_contrib TDF
781,Pixagility - RX,Pixagility_-_RX-781,active,ZZ_contrib TDF
783,Advalem - RXTX,Advalem_-_RXTX-783,active,ZZ_contrib TDF
785,Afrimedia - RX,Afrimedia_-_RX-785,active,ZZ_contrib TDF
787,RedBee FR -RX,RedBee_FR_-RX-787,active,ZZ_contrib TDF
788,Globecast - RXTX,Globecast_-_RXTX-788,active,ZZ_contrib TDF
789,ZEOP - TX,ZEOP_-_TX-789,active,ZZ_contrib TDF
791,AB - RX,AB_-_RX-791,active,ZZ_contrib TDF
793,LiveCom - RX,LiveCom_-_RX-793,active,ZZ_contrib TDF
794,HexaGlobe - TX,HexaGlobe_-_TX-794,active,ZZ_contrib TDF
798,Canal IPTV - TX,Canal_IPTV_-_TX-798,active,ZZ_contrib TDF
799,PAD - RX,PAD_-_RX-799,active,ZZ_contrib TDF
800,Wibox - TX,Wibox_-_TX-800,active,ZZ_contrib TDF
801,NBC Universal Networks International - RX,NBC_Universal_Networks_International_-_RX-801,active,ZZ_contrib TDF
802,NBC Universal Networks International - RX,NBC_Universal_Networks_International_-_RX-802,active,ZZ_contrib TDF
808,Teleclub - TX,Teleclub_-_TX-808,active,ZZ_contrib TDF
809,Teleclub - TX,Teleclub_-_TX-809,active,ZZ_contrib TDF
810,M7 MAIN - TX,M7_MAIN_-_TX-810,active,ZZ_contrib TDF
811,M7 BKP - TX,M7_BKP_-_TX-811,active,ZZ_contrib TDF
1111,ARQIVA BACKUP - RX,ARQIVA_BACKUP_-_RX-1111,active,ZZ_contrib TDF
1112,ARQIVA RXTX,ARQIVA_RXTX-1112,active,ZZ_contrib TDF
1550,Eutelsat - TX1,Eutelsat_-_TX1-1550,active,ZZ_contrib TDF
1552,Eutelsat DRD Rambouillet - RX,Eutelsat_DRD_Rambouillet_-_RX-1552,active,ZZ_contrib TDF
1555,Eutelsat - RX,Eutelsat_-_RX-1555,active,ZZ_contrib TDF
1680,FOX - NatGeo - RX,FOX_-_NatGeo_-_RX-1680,active,ZZ_contrib TDF
2008,Netgem Ozone - TX,Netgem_Ozone_-_TX-2008,active,ZZ_contrib TDF
2018,MEO Telecom Portugal - TX,MEO_Telecom_Portugal_-_TX-2018,active,ZZ_contrib TDF
2020,Vodafone - TX,Vodafone_-_TX-2020,active,ZZ_contrib TDF
2032,NOWO Cabovisao - TX,NOWO_Cabovisao_-_TX-2032,active,ZZ_contrib TDF
2039,NOS Telecom - TX,NOS_Telecom_-_TX-2039,active,ZZ_contrib TDF
2057,TMS - Mux POC Tetris Bytel Cherie25 et NRJ12,TMS_-_Mux_POC_Tetris_Bytel_Cherie25_et_NRJ12-2057,active,ZZ_contrib TDF
2062,TMS - NatGeo Core - TX,TMS_-_NatGeo_Core_-_TX-2062,active,ZZ_contrib TDF
2063,TMS - NatGeo Wild - TX,TMS_-_NatGeo_Wild_-_TX-2063,active,ZZ_contrib TDF
2064,TMS - Canal Kids - TX,TMS_-_Canal_Kids_-_TX-2064,active,ZZ_contrib TDF
