vlan.vid,prefix,vlan_group,status,description,is_pool
,10.37.34.32/28,,active,OCS_STORE - vlan2666 - ocs.store.media  - RMV,True
,10.37.34.48/28,,active,INTERCO_MTH-COS_PF_COMMON - vlan2642 - - RMV,True
,10.37.34.64/29,,active,LCP-DMZ - vlan3533 - CJI,True
,10.37.203.0/24,,active,KARAJAN_PREPROD_INTERNAL - vlan2802 - preprod.karajan.media - RMV,True
,10.58.1.0/24,,active,MAM_ITX - vlan58 - transco - ITX,True
160,10.100.160.0/24,TDF,active,VMS1 - Internal - CJI,True
,172.16.1.0/24,,active,MAM - CJI,True
3100,172.16.101.0/24,TDF,active,FLIP - CJI,True
,172.16.214.0/25,,active,admin_proxmox - vlan - proxmox.media - CJI,True
,10.1.5.0/24,,active,INTERCO_CANAL_SNL_CTRL,True
,10.1.5.0/30,,active,Interco primaire - manage by Canal,True
,10.1.5.4/30,,active,Interco secondaire - manage by Canal,True
,10.1.5.8/29,,active,INTERCO_CANAL_FARMAN_PRIMAIRE_CTRL - vlan2871 - pctrl.sco.woode,True
,10.1.5.16/29,,active,INTERCO_CANAL_FARMAN_SECONDAIRE_CTRL - vlan2885 - sctrl.sco.woode,True
,10.1.5.24/30,,active,- Interco primaire - tenant QA,True
,10.1.5.28/30,,active,- Interco secondaire - tenant QA,True
,10.1.5.32/27,,active,- Arkena QA - tenant QA,True
,10.1.5.64/27,,active,INTERCO_ARKENA_NAT_PREPROD - arkena.preprod.snlco.woode,True
,10.1.5.96/27,,active,INTERCO_ARKENA_NAT_PROD - arkena.prod.snlco.woode,True
,10.1.5.128/26,,active,Arkena Subnet,True
,10.1.5.192/27,,active,INTERCO_CANAL_NAT_PREPROD - manage by Canal - canal.preprod.snlco.woode,True
,10.1.5.224/27,,active,INTERCO_CANAL_NAT_PROD - manage by Canal - canal.prod.snlco.woode,True
,10.1.6.0/24,,active,INTERCO_CANAL_SNL_DATA,True
,10.1.6.0/29,,active,INTERCO_CANAL_FARMAN_PRIMAIRE_DATA - vlan2872 - pdata.sco.woode,True
,10.1.6.8/29,,active,INTERCO_CANAL_FARMAN_SECONDAIRE_DATA - vlan2886 - sdata.sco.woode,True
,10.1.6.16/28,,active,INTERCO_CANAL_LUMIERE_MIT_1 - vlan2907 - mitco.woode,True
,10.31.0.0/21,,active,Canal+ SNL - dedicated,True
,10.31.0.0/24,,active,SNL_DMZ - vlan2873 - dmz.woode,True
,10.31.1.0/24,,active,SNL_WOODE_PP - vlan2874 - pp.woode,True
,10.31.2.0/24,,active,SNL_WOODE_PROD - vlan2875 - prod.woode,True
,10.31.3.0/28,,active,SNL_FW_OUT_PROV - vlan2893 - prov.woode,True
,10.31.3.16/28,,active,SNL_RXTX - vlan2879 - dmzrxtx.woode,True
,10.31.3.32/27,,active,SNL_TOOLS  - vlan2909 - tools.woode,True
,10.31.3.64/28,,active,SNL_DMZFTP - vlan2991 - dmzftp.woode,True
,10.31.3.80/28,,active,SNL_DMZ_PROV - vlan103 - dmzprov.woode,True
,10.31.3.96/27,,active,NEW SNL_FW_OUT_PROV - vlan2893 - prov.woode,True
,10.31.3.128/27,,active,NEW SNL_DMZ_PROV - vlan103 - dmzprov.woode,True
,10.31.3.160/27,,active,NEW SNL_RXTX - vlan2879 - dmzrxtx.woode,True
,10.31.4.0/24,,active,SNL_DB - vlan2877 - db.woode,True
,10.31.5.0/24,,active,SNL_STORAGE - vlan2878 - stor.woode,True
,10.31.6.0/28,,active,SNL_BPM_PROD - vlan32 - bpm.woode,True
,10.31.6.16/28,,active,SNL_BPM_PREPROD - vlan2610 - preprod.bpm.woode,True
,10.31.7.0/24,,active,SNL_DMZ_IN - vlan593 - dmzin.woode,True
,10.31.64.0/24,,active,SNL_TRANSCO_ATEME - vlan2876 - transco.woode,True
,10.31.65.0/24,,active,STORAGE_SCALITY_NODES - vlan2896 - scality.woode,True
,10.31.254.0/29,,active,SNL_INTERCO_XCO - vlan2881 - xco.woode,True
,10.31.254.8/30,,active,SNL_FW_VRRP - vlan2888- vrrp.woode,True
,10.242.0.0/16,,active,VPN Access Clients,True
