vid,description,group,status,name
370,Synchroscreen Radio Allemandes - TX,ZZ_contrib TDF,active,Synchroscreen_Radio_Allemandes_-_TX
371,Lagardère TX,ZZ_contrib TDF,active,Lagardère_TX
372,,ZZ_contrib TDF,active,3112
373,,ZZ_contrib TDF,active,3217
374,,TDF,active,SW-NETCORE-RMV
375,,TDF,active,OSPF_MTH
376,,TDF,active,MCAST-B2M
377,,TDF,active,CJI_RMV-E2-1_MCAST
378,,TDF,active,CJI_RMV-E2-2_MCAST
379,,TDF,active,WHESTONE
380,,TDF,active,VRFRXTX-SMJ
381,,TDF,active,ARQUIVA
382,,TDF,active,SL3-RMV-P3D6-mcast-1_2_to_SW-RMV
383,,TDF,active,INTERNET_MEDIAMOBILE_1
384,,TDF,active,INTERNET_MEDIAMOBILE_2
385,,TDF,active,INTERNET_NRJ
386,,TDF,active,ADMIN-IPTV
387,,TDF,active,PRA_OCS_INTERSW_NetCore_
388,,TDF,active,PRA_GULLI_INTERSW_NetCore_
389,,TDF,active,PRA_FTV_INTERSW_NetCore_
390,,TDF,active,PRA_FMM_INTERSW_NetCore_
391,,TDF,active,ADMIN-MTH
392,,TDF,active,ADMIN_B2M
393,,TDF,active,ACCES-DIVA-BRANE
394,,TDF,active,PRA_GULLI_C4M_NAS
395,,TDF,active,PRA_OCS_INTERCO_vFW-DSI
396,,TDF,active,INTERCO-RMV-ICNX-PRA-OCS
397,,TDF,active,PRA_FTV-C4M-STOCKAGE
398,,TDF,active,PRA_FTV_INTERCO_vFW-DSI
399,,TDF,active,PRA_FMM_INTERCO_vFW-DSI
400,,TDF,active,INTERCO-MAM-BRANE
401,,TDF,active,MCAST-CLOUD-DSI
402,,TDF,active,CLOUD_IPPLAY
403,,TDF,active,MULTICAST-ADVALEM_PROD_RMV
404,,TDF,active,PRA_NTP
405,,TDF,active,THEMA_PUB
406,,TDF,active,PRA_OCS_CJI-6th-flr_MCAST_JEPEG
407,,TDF,active,QUALIF_HABILLAGE
408,,TDF,active,ARQUIVA_ADMIN_VPN
409,,TDF,active,Dante-CJI-ISSY
410,,TDF,active,AKA-RMV-R00_SL3-RMV-E2-1_MCAST
411,,TDF,active,AKA-RMV-R01_SL3-RMV-E2-2_MCAST
412,,TDF,active,AKA-RMV-R00_SL3-RMV-P3D6-MCAST-1
413,,TDF,active,AKA-RMV-R01_SL3-RMV-P3D6-MCAST-2
414,,TDF,active,PRA_GULLI_DATA
415,,TDF,active,PRA_GULLI_ADMIN
416,,TDF,active,PRA_GULLI_STREAM
417,,TDF,active,PRA_OCS_POLARIS
418,,TDF,active,PRA_OCS_MAMDIFF
419,,TDF,active,PRA_FTV_Mcast_RTMP
420,,TDF,active,PRA_FTV-ADMIN-HOSTS
421,,TDF,active,PRA_FMM_ADMIN_ARKENA
422,,TDF,active,PRA_FMM_MCAST_TH2
423,,TDF,active,PRA_FMM_MCAST
424,,TDF,active,PRA_FMM_INTERCO_FW_DPR
425,,TDF,active,PRA_FMM_DATA
426,,TDF,active,PRA_FTV_MAST
427,,TDF,active,INTERC_STRMSH_NETCORE
428,,TDF,active,INTX_CPLUS_ATLAS
429,,TDF,active,RIEDEL-INTERCO-CPLUS
430,,TDF,active,INTERSWITCH-NETCORE
431,,ZZ_contrib TDF,active,PTVAMD-MCL2
432,,TDF,active, rxtx OUT CES 
433,,TDF,active, rxtx OUT RMV 
434,,ZZ_contrib TDF,active,PRA FTV RADIO ADM
436,,TDF,active,PRA FMM RADIO
437,,TDF,active,PRA-FMM DMZ
438,,TDF,active,PRA FMM GLOBAL
439,,TDF,active,PRA-FMM TV
440,,TDF,active,PRA FMM MCAST TV
441,,TDF,active,PRA-FMM MCAST RADIO
442,,TDF,active,PRA FMM MCAST AES-67
443,,00_MLB,active,NETWORK
444,,00_MLB,active,ILO_DRAC
445,,00_MLB,active,ADMIN_PROMISCUOUS
446,,00_MLB,active,ADMIN_ISOLATED
447,,00_MLB,active,ADMIN_COMMUNITY_1
448,,00_MLB,active,PRO_SMJ_MAIN
449,,00_MLB,active,PRO_SMJ_STORAGE
450,,00_MLB,active,PRO_SMJ_DMZ
451,,00_MLB,active,PRO_CJI_MAIN
452,,00_MLB,active,PRO_CJI_DMZ
453,,00_MLB,active,PRO_COMMON_DMZ
454,,00_MLB,active,PRO_COMMON_KARAJAN
456,,00_MLB,active,PROD_LAST_RESERVED
457,,00_MLB,active,PPD_COMMON_DMZ
458,,00_MLB,active,PPD_COMMON_KARAJAN
459,,00_MLB,active,PPD_COMMON_TRANSCO
460,,00_MLB,active,PPD_COMMON_MAIN
461,,00_MLB,active,PPD_COMMON_RECEPT
462,,00_MLB,active,PPROD_P3_MAIN
463,,00_MLB,active,PPROD_P3_DMZ
464,,00_MLB,active,PPROD_LAST_RESERVED
465,,00_MLB,active,QA_GLB_MAIN
466,,00_MLB,active,QA_GLB_DMZ
467,,00_MLB,active,DELL
468,PEBBLE + PROD,00_MLB,active,MCAST_CANALD3_MPEG_1
469,,00_MLB,active,MULTICAST_LAST_RESERVED
470,,00_MLB,active,QA_LAST_RESERVED
472,Multicast,TDF,active,DCM RMV_-_Brane RMV
494,,TDF-PSDAFTV,active,PSDA-FTV-AAA-AD-VLAN30
495,,TDF-PSDAFTV,active,PSDA-FTV-AAA-AUTH-VLAN31
496,,TDF-PSDAFTV,active,PSDA-FTV-AAA-DMZ-VLAN32
497,,TDF-PSDAFTV,active,PSDA-FTV-AAA-LOG-VLAN33
498,,TDF-PSDAFTV,active,PSDA-FTV-ADM-CJI-VLAN10
499,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-1-VLAN110
500,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-2-1-VLAN121
501,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-2-2-VLAN122
502,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-2-3-VLAN123
503,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-2-4-VLAN124
504,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-3-VLAN130
505,,TDF-PSDAFTV,active,PSDA-FTV-EXT-INTERCO-TDF
506,,TDF-PSDAFTV,active,PSDA-FTV-INT-CJI-VLAN51
507,,TDF-PSDAFTV,active,PSDA-FTV-LAN-FTV-VLAN40
508,,TDF-PSDAFTV,active,PSDA-FTV-PSDA-MNGT
509,,TDF-PSDAFTV,active,PSDA-FTV-WAN-FTV-VLAN140
510,,TDF-PSDAFTV,active,PSDA-FTV-WAN-RF-VLAN141
511,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-1-VLAN101
512,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-2-VLAN102
513,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-3-VLAN103
514,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-5-VLAN105
515,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-6-VLAN106
516,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-7-VLAN107
517,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-I11-VLAN11
518,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-I12-VLAN12
519,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-I21-VLAN21
520,,TDF-PSDAFTV,active,PSDA-FTV-ZONE-I22-VLAN22
521,,TDF-PSDAFTV,active,PSDA-FTV-DMZ-2-5-VLAN125
522,,TDF-PSDAFTV,active,PSDA-FTV-COLLECTE-FTV-VLAN150
523,,TDF-PSDAFTV,active,PSDA-FTV-LIVRAISON-FTV-VLAN160
524,,TDF-PSDAFTV,active,PSDA-FTV-LIVRAISON-RF-VLAN161
525,,TDF-PSDAFTV,active,PSDA-FTV-LIVRAISON-FTV-TMS-VLAN162
526,,TDF-PSDAFTV,active,PSDA-FTV-LIVRAISON-RF-TMS-VLAN163
527,,TDF-PSDAFTV,active,PSDA-FTV-MCAST-LOCAL-VLAN170
528,,TDF-PSDAFTV,active,PSDA-FTV-MCAST-FTV-VLAN171
529,,TDF-PSDAFTV,active,PSDA-FTV-MCAST-LIVEWIRE-RF-VLAN172
530,,TDF-PSDAFTV,active,PSDA-FTV-MCAST-BRANE-VLAN173
531,,TDF-PSDAFTV,active,PSDA-FTV-STREAM-M-TS-VLAN174
532,,TDF-PSDAFTV,active,PSDA-FTV-INTERNAL-VMOTION-VLAN250
533,,TDF-PSDAFTV,active,PSDA-FTV-INTERNAL-VSAN-VLAN251
